,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude,yearintcolumn
1394901,2013-01-01,5.791,0.3339999999999999,Cary,United States,36.17N,79.56W,2013
1425126,2012-01-01,-3.902,0.439,Cedar Rapids,United States,42.59N,91.64W,2012
1425138,2013-01-01,-5.855,0.385,Cedar Rapids,United States,42.59N,91.64W,2013
1444142,2012-01-01,12.406,0.19,Chandler,United States,32.95N,112.02W,2012
1444154,2013-01-01,9.58,0.29,Chandler,United States,32.95N,112.02W,2013
1475559,2012-01-01,12.433,0.515,Charleston,United States,32.95N,79.47W,2012
1475571,2013-01-01,13.445,0.305,Charleston,United States,32.95N,79.47W,2013
1478798,2012-01-01,7.911,0.29,Charlotte,United States,34.56N,81.73W,2012
1478810,2013-01-01,8.677999999999999,0.282,Charlotte,United States,34.56N,81.73W,2013
1484650,2012-01-01,7.43,0.3429999999999999,Chattanooga,United States,34.56N,85.62W,2012
1484662,2013-01-01,7.215,0.287,Chattanooga,United States,34.56N,85.62W,2013
1530852,2012-01-01,9.07,0.4529999999999999,Chesapeake,United States,36.17N,75.58W,2012
1530864,2013-01-01,8.081,0.428,Chesapeake,United States,36.17N,75.58W,2013
1546566,2012-01-01,2.6700000000000004,0.727,Chicago,United States,42.59N,87.27W,2012
1546578,2013-01-01,1.056,0.528,Chicago,United States,42.59N,87.27W,2013
1609775,2012-01-01,15.113,0.665,Chula Vista,United States,32.95N,117.77W,2012
1609787,2013-01-01,13.404000000000002,0.552,Chula Vista,United States,32.95N,117.77W,2013
1660219,2012-01-01,1.023,0.386,Cincinnati,United States,39.38N,85.32W,2012
1660231,2013-01-01,-0.254,0.243,Cincinnati,United States,39.38N,85.32W,2013
1686012,2012-01-01,6.0950000000000015,0.362,Clarksville,United States,36.17N,87.51W,2012
1686024,2013-01-01,4.823,0.36,Clarksville,United States,36.17N,87.51W,2013
1689251,2012-01-01,16.619,0.316,Clearwater,United States,28.13N,82.73W,2012
1689263,2013-01-01,19.375,0.318,Clearwater,United States,28.13N,82.73W,2013
1695729,2012-01-01,-0.3439999999999998,0.41,Cleveland,United States,40.99N,80.95W,2012
1695741,2013-01-01,-1.086,0.22,Cleveland,United States,40.99N,80.95W,2013
1726942,2012-01-01,0.7640000000000002,0.4589999999999999,Colorado Springs,United States,39.38N,104.05W,2012
1726954,2013-01-01,-2.138,0.305,Colorado Springs,United States,39.38N,104.05W,2013
1730181,2012-01-01,7.911,0.29,Columbia,United States,34.56N,81.73W,2012
1730193,2013-01-01,8.677999999999999,0.282,Columbia,United States,34.56N,81.73W,2013
1733420,2012-01-01,9.603,0.2769999999999999,Columbus,United States,32.95N,85.21W,2012
1733432,2013-01-01,10.762,0.482,Columbus,United States,32.95N,85.21W,2013
1736659,2012-01-01,1.4449999999999998,0.296,Columbus,United States,39.38N,83.24W,2012
1736671,2013-01-01,0.536,0.257,Columbus,United States,39.38N,83.24W,2013
1744407,2012-01-01,9.993,0.625,Concord,United States,37.78N,122.03W,2012
1744419,2013-01-01,8.32,0.278,Concord,United States,37.78N,122.03W,2013
1767426,2012-01-01,17.820999999999994,0.296,Coral Springs,United States,26.52N,80.60W,2012
1767438,2013-01-01,20.774,0.144,Coral Springs,United States,26.52N,80.60W,2013
1776820,2012-01-01,15.113,0.665,Corona,United States,32.95N,117.77W,2012
1776832,2013-01-01,13.404000000000002,0.552,Corona,United States,32.95N,117.77W,2013
1781326,2012-01-01,15.542,0.296,Corpus Christi,United States,28.13N,97.27W,2012
1781338,2013-01-01,13.921,0.364,Corpus Christi,United States,28.13N,97.27W,2013
1785484,2012-01-01,15.113,0.665,Costa Mesa,United States,32.95N,117.77W,2012
1785496,2013-01-01,13.404000000000002,0.552,Costa Mesa,United States,32.95N,117.77W,2013
1875517,2012-01-01,9.359,0.204,Dallas,United States,32.95N,96.70W,2012
1875529,2013-01-01,8.597999999999999,0.253,Dallas,United States,32.95N,96.70W,2013
1923402,2012-01-01,1.4449999999999998,0.296,Dayton,United States,39.38N,83.24W,2012
1923414,2013-01-01,0.536,0.257,Dayton,United States,39.38N,83.24W,2013
1953563,2012-01-01,9.359,0.204,Denton,United States,32.95N,96.70W,2012
1953575,2013-01-01,8.597999999999999,0.253,Denton,United States,32.95N,96.70W,2013
1956425,2012-01-01,0.7640000000000002,0.4589999999999999,Denver,United States,39.38N,104.05W,2012
1956437,2013-01-01,-2.138,0.305,Denver,United States,39.38N,104.05W,2013
1977593,2012-01-01,-0.8920000000000003,0.377,Des Moines,United States,40.99N,93.73W,2012
1977605,2013-01-01,-2.8480000000000003,0.292,Des Moines,United States,40.99N,93.73W,2013
1982797,2012-01-01,-1.44,0.239,Detroit,United States,42.59N,82.91W,2012
1982809,2013-01-01,-2.7510000000000003,0.258,Detroit,United States,42.59N,82.91W,2013
2077860,2012-01-01,11.581,0.6940000000000001,Downey,United States,34.56N,118.70W,2012
2077872,2013-01-01,8.812999999999999,0.6509999999999999,Downey,United States,34.56N,118.70W,2013
2127568,2012-01-01,5.916,0.414,Durham,United States,36.17N,79.56W,2012
2127580,2013-01-01,5.791,0.3339999999999999,Durham,United States,36.17N,79.56W,2013
2140085,2012-01-01,11.581,0.6940000000000001,East Los Angeles,United States,34.56N,118.70W,2012
2140097,2013-01-01,8.812999999999999,0.6509999999999999,East Los Angeles,United States,34.56N,118.70W,2013
2166309,2012-01-01,-0.0409999999999999,0.493,Edison,United States,40.99N,74.56W,2012
2166321,2013-01-01,-0.968,0.29,Edison,United States,40.99N,74.56W,2013
2188386,2012-01-01,11.581,0.6940000000000001,El Monte,United States,34.56N,118.70W,2012
2188398,2013-01-01,8.812999999999999,0.6509999999999999,El Monte,United States,34.56N,118.70W,2013
2190647,2012-01-01,7.0710000000000015,0.375,El Paso,United States,31.35N,105.55W,2012
2190659,2013-01-01,4.365,0.379,El Paso,United States,31.35N,105.55W,2013
2212950,2012-01-01,-0.0409999999999999,0.493,Elizabeth,United States,40.99N,74.56W,2012
2212962,2013-01-01,-0.968,0.29,Elizabeth,United States,40.99N,74.56W,2013
2252373,2012-01-01,15.113,0.665,Escondido,United States,32.95N,117.77W,2012
2252385,2013-01-01,13.404000000000002,0.552,Escondido,United States,32.95N,117.77W,2013
2281782,2012-01-01,4.35,0.451,Eugene,United States,44.20N,122.98W,2012
2281794,2013-01-01,2.58,0.5489999999999999,Eugene,United States,44.20N,122.98W,2013
2285021,2012-01-01,3.782,0.337,Evansville,United States,37.78N,87.46W,2012
2285033,2013-01-01,2.439,0.275,Evansville,United States,37.78N,87.46W,2013
2295549,2012-01-01,9.993,0.625,Fairfield,United States,37.78N,122.03W,2012
2295561,2013-01-01,8.32,0.278,Fairfield,United States,37.78N,122.03W,2013
2314224,2012-01-01,8.405000000000001,0.368,Fayetteville,United States,34.56N,79.78W,2012
2314236,2013-01-01,8.905000000000003,0.34,Fayetteville,United States,34.56N,79.78W,2013
2342365,2012-01-01,-1.44,0.239,Flint,United States,42.59N,82.91W,2012
2342377,2013-01-01,-2.7510000000000003,0.258,Flint,United States,42.59N,82.91W,2013
2360449,2012-01-01,10.093,0.38,Fontana,United States,34.56N,116.76W,2012
2360461,2013-01-01,6.757000000000001,0.3979999999999999,Fontana,United States,34.56N,116.76W,2013
2368810,2012-01-01,0.375,0.372,Fort Collins,United States,40.99N,104.38W,2012
2368822,2013-01-01,-2.154,0.42,Fort Collins,United States,40.99N,104.38W,2013
2371877,2012-01-01,17.820999999999994,0.296,Fort Lauderdale,United States,26.52N,80.60W,2012
